#漢字	音標	解釋
多	tou44	多：多少，多数
暢	tʃʰɔŋ31	畅：通畅，畅快
悵	tʃɔŋ44	怅：惆怅
長	tʃʰɔŋ22	长：长短，长春，天长地久
腸	tʃʰɔŋ22	肠：大肠，肠胃
場	tʃʰɔŋ22	场：晒场，场地
丈	tʃʰɔŋ51	丈：一丈，老丈人
仗	tʃɔŋ51	仗：打仗，炮仗
杖	tʃʰɔŋ51	杖：拐杖
着	tʃʰɔk033	着：着地，碰着，着火，着力
莊	tsɔŋ44	庄：村庄，庄稼
裝	tʃɔŋ44	装：装货，假装
妝	tsɔŋ44	妆：化妆，妆扮
壯	tsɔŋ51	壮：胖也，强壮，壮大
瘡	tsʰɔŋ44	疮：生疮，痔疮
闖	tsʰɔŋ31	闯：闯祸
創	tsʰɔŋ51	创：创造，开创
牀	tsʰɔŋ22	床：睡觉用，桌子，机床
狀	tsʰɔŋ51	状：告状，状元
霜	sɔŋ44	霜：落霜，霜降
孀	sɔŋ44	孀：孤孀
爽	sɔŋ31	爽：直爽，爽快
章	tʃɔŋ44	章：文章，姓
樟	tʃɔŋ44	樟：樟树
蟑	tʃɔŋ44	蟑：蟑螂
掌	tʃɔŋ31	掌：巴掌，掌握
障	tʃɔŋ51	障：保障，障碍
瘴	tʃɔŋ51	瘴：瘴气
酌	ʃɔk031	酌：斟酌、酌情
昌	tʃʰɔŋ44	昌：人名用字
菖	tʃʰɔŋ44	菖：菖蒲
娼	tʃʰɔŋ44	娼：娼妓
廠	tʃʰɔŋ31	厂：办厂，厂长
唱	tʃʰɔŋ51	唱：唱歌，歌唱
倡	tʃʰɔŋ51	倡：提倡，倡议
商	ʃɔŋ44	商：商量，商业
傷	ʃɔŋ44	伤：受伤，伤害
賞	ʃɔŋ31	赏：欣赏，赏赐
晌	ʃɔŋ31	晌：晌午
餉	ʃɔŋ31	饷：军饷
常	ʃɔŋ22	常：经常，常山，常识
嘗	ʃɔŋ22	尝：尝味道
裳	ʃɔŋ22	裳：衣裳
償	ʃɔŋ22	偿：赔偿，偿还
上	ʃɔŋ51	上：动词，上去
尙	ʃɔŋ51	尚：和尚，高尚
上	ʃɔŋ51	上：方位，上面
勺	ʃɔk033	勺：饭勺，勺子
芍	ʃɔk031	芍：芍药
瓤	lɔŋ22	瓤：瓜瓤，水果的一瓣
壤	ʒɔŋ31	壤：土壤
攘	ʒɔŋ51	攘：攘外安内
嚷	ʒɔŋ51	嚷：叫嚷
讓	ʒɔŋ51	让：让他，让座
若	ʒɔk033	若：若无其事，倘若
弱	ȵiɔk033	弱：弱点，衰弱
疆	kiɔŋ44	疆：新疆，疆域
僵	kiɔŋ44	僵：冻僵，僵硬
薑	kiɔŋ44	姜：生姜
繮	kiɔŋ44	缰：缰绳
姜	kiɔŋ44	姜：姓，姜太公
脚	kiɔk031	脚：赤脚，八脚蟢
羌	kiɔŋ44	羌：羌族
卻	kʰiɔk031	却：却步，退却
强	kʰiɔŋ22	强：坚强，强调
强	kʰiɔŋ22	强：勉强，倔強
仰	ŋɔŋ31	仰：仰视，瞻仰，景仰
虐	ȵiɔk031	虐：虐待
瘧	li51	疟：疟疾，疟子
香	ʃɔŋ44	香：香气，吃香
鄕	ʃɔŋ44	乡：乡下，城乡
享	ʃɔŋ31	享：分享，享受
響	ʃɔŋ31	响：响亮，音响
向	ʃɔŋ51	向：向前，方向
央	ʒɔŋ44	央：中央（中间，党中央）
秧	ʒɔŋ44	秧：秧苗，插秧
殃	ʒɔŋ44	殃：遭殃，殃及
約	ʒɔk031	约：大约，约定
羊	ʒɔŋ22	羊：动物
洋	ʒɔŋ22	洋：海洋，洋气
烊	ʒɔŋ51	烊：熔化
楊	ʒɔŋ22	杨：杨树，姓
陽	ʒɔŋ22	阳：太阳，阳光
揚	ʒɔŋ22	扬：发扬，扬名
瘍	ʒɔŋ22	疡：溃疡
養	ʒɔŋ44	养：养猪，饲养
癢	ʒɔŋ44	痒：身上痒
樣	ʒɔŋ51	样：样子，一样
藥	ʒɔk033	药：吃药，药片
躍	ʒɔk031	跃：大跃进，跳跃
光	kuɔŋ44	光：阳光，光滑，光棍，吃光
廣	kuɔŋ31	广：广东，推广
郭	kuɔk031	郭：姓
曠	kʰuɔn51	旷：旷课，旷工
廓	kʰuɔk031	廓：轮廓
擴	kʰuɔk031	扩：扩充，扩大
荒	fɔŋ44	荒：荒地，荒唐
慌	fɔŋ44	慌：心慌，慌忙
謊	fɔŋ44	谎：说谎，谎言
霍	fɔk031	霍：姓，霍乱
藿	fɔk031	藿：藿香
黃	vɔŋ22	黄：姓，黄色
簧	vaŋ22	簧：弹簧
皇	fɔŋ22	皇：皇帝
蝗	fɔŋ22	蝗：蝗虫
蟥	vɔŋ22	蟥：蚂蟥
凰	fɔŋ22	凰：凤凰
晃	fɔŋ31	晃：日光晃眼，晃动
鑊	vɔk033	镬：锅
汪	vɔŋ44	汪：姓，一汪水
方	fɔŋ44	方：形状，姓，方面，地方
坊	fɔŋ22	坊：作坊
肪	fɔŋ22	肪：脂肪
倣	fɔŋ31	仿：仿效
放	fɔŋ51	放：放屁，放排，放手，解放
芳	fɔŋ44	芳：芳香，闻
妨	fɔŋ22	妨：妨害，无妨
紡	fɔŋ31	纺：纺纱，纺棉花，纺织
仿	fɔŋ31	仿：相仿，仿照
彷	fɔŋ31	彷：仿佛
訪	fɔŋ31	访：采访，访问
房	fɔŋ22	房：楼房，房间
防	fɔŋ22	防：防止，国防
縛	pɔŋ31	缚：缚鞋带
亡	mɔŋ22	亡：死亡，亡人
芒	mɔŋ22	芒：麦芒
網	miɔŋ31	网：鱼网，自投罗网
望	mɔŋ51	望：希望，望见
妄	mɔŋ51	妄：狂妄，妄想
忘	mɔŋ22	忘：忘记，遗忘
筐	kʰuɔŋ44	筐：箩筐
框	kʰiɔŋ44	框：门框
匡	kʰiɔŋ44	匡：赵匡胤
眶	kʰiɔŋ44	眶：眼眶
狂	kʰuɔŋ22	狂：发狂，狂人日记
况	kʰuɔŋ31	况：况且，情况
枉	vɔŋ31	枉：冤枉，枉然
王	vɔŋ22	王：姓，称王
往	vɔŋ44	往：来往，往年
旺	vɔŋ51	旺：兴旺，旺盛，火旺
邦	pɔŋ44	邦：刘邦，邦国
綁	pɔŋ31	绑：松绑，捆绑
剝	pɔk031	剥：剥皮，剥削
駁	pɔk031	驳：反驳，驳斥
胖	pʰaŋ51	胖：胖大海，肥胖
樸	pʰɔk031	朴：朴素，简朴
龐	pʰaŋ22	庞：姓，庞大
棒	pʰaŋ51	棒：棍子
蚌	pɔŋ51	蚌：蚌壳，蚌埠
雹	pau44	雹：龙雹，雹子
樁	tsɔŋ44	桩：打桩
卓	tsɔk031	卓：卓越
桌	tsɔk031	桌：桌子，书桌
啄	tuk031	啄：啄木鸟，鸡啄米
琢	tsɔk031	琢：琢磨，雕琢
戳	tun51	戳：拿棍子、刀子桶
撞	tsʰɔŋ51	撞：撞击，碰撞
濁	tʃʰuk033	浊：清浊
擢	tʃak031	擢：擢升
捉	tsɔk031	捉：捉拿，捕捉
窗	tsʰuŋ44	窗：门窗，窗户
鐲	tʃuk031	镯：镯子、手镯
浞	tuk031	浞：淋雨
雙	suŋ44	双：单双，一双
朔	sɔk031	朔：朔望，朔月（每月初一）
江	kɔŋ44	江：长江，江湖
扛	kɔŋ44	扛：肩扛
肛	kɔŋ44	肛：肛门
豇	kɔŋ51	豇：豇豆
講	kɔŋ31	讲：讲话，演讲
港	kɔŋ31	港：河，港口
耩	kaŋ44	耩：耩地
降	kɔŋ51	降：下降，降低
杠	kɔŋ51	杠：同槓，粗棍
角	kɔk031	角：牛角，墙角，角色
餃	kiau22	饺：水饺，饺子
覺	kɔk031	觉：知觉，觉得
腔	kʰiɔŋ44	腔：口腔
確	kʰɔk031	确：的确，确定
殼	kʰɔk031	壳：蛋壳
樂	lɔk033	乐：音乐，乐清
嶽	ŋɔk033	岳：五岳
岳	ŋɔk033	岳：姓，岳飞
握	vɔk031	握：握手，掌握
降	hɔŋ22	降：投降，降伏
項	hɔŋ51	项：项颈，项链
巷	hɔŋ51	巷：巷战，小巷
學	hɔk033	学：学习，数学
握	vɔk031	握：握手，掌握
崩	pen44	崩：山崩，崩溃
北	pek031	北：南北，北方
朋	pʰen22	朋：亲朋，朋友
墨	met033	墨：笔墨，墨迹
默	met033	默：沉默，默写
登	ten44	登：攀登，登山
燈	ten44	灯：电灯，灯光
等	ten31	等：等人，高等
凳	ten51	凳：凳子，板凳
得	tet031	得：得到，获得，吃得，应该
德	tet031	德：道德，德国
藤	tʰen22	藤：藤椅
騰	tʰen22	腾：奔腾，腾空
謄	tʰien44	誊：誊写
鄧	tʰen51	邓：姓，邓小平
澄	tʃʰuk033	澄：水浑，澄一澄
特	tʰit033	特：特别，独特
能	len22	能：能干，才能，能够
棱	lin22	棱：棱角
勒	let033	勒：勒紧，勒令
肋	let033	肋：肋排，肋骨
增	tsen51	增：增加
曾	tsen44	曾：姓，曾国藩
憎	tsen51	憎：憎恨，厌憎
則	tset031	则：否则
蹭	tsʰen51	蹭：磨蹭，摩擦
層	tsʰen22	层：楼层，层次
曾	tsʰen22	曾：曾经，不曾
贈	tsen51	赠：赠送，馈赠
賊	tsʰet033	贼：做贼
僧	tsen44	僧：唐僧，僧尼会
塞	set031	塞：瓶塞，塞住
肯	kʰen31	肯：不肯，肯定
克	kʰet031	克：克服，攻克
刻	kʰet031	刻：時刻表
刻	kʰat031	刻：用刀刻
黑	het031	黑：黑白，天黑
恆	hen22	恒：永恒，恒心
冰	pen44	冰：结冰，冰箱
逼	pet031	逼：逼迫，被逼
憑	pʰin22	凭：凭借，文凭
匿	nɔk031	匿：匿名信
凌	lin22	凌：冰凌，凌厉
陵	lin22	陵：皇陵，陵园
菱	lin22	菱：菱角
力	lit033	力：力量，有力
甑	pat031	甑：饭甑
即	tsit031	即：即刻，立即
鯽	tsit031	鲫：鲫鱼
息	sit031	息：休息，息怒
熄	sit031	熄：熄灭，熄灯
媳	sit031	媳：婆媳，媳妇
徵	tʃin44	征：征求
澄	tʃʰin22	澄：澄清
懲	tʃin44	惩：惩罚，严惩
橙	tʃʰaŋ22	橙：橙子，脐橙
直	tʃʰit033	直：笔直，直接
値	tʃʰit033	值：值得，价值
仄	ʒam51	仄：平仄
側	tset031	侧：侧面，侧着睡
惻	tsʰet031	恻：恻隐之心
測	tsʰet031	测：测量，观测，居心叵测
色	set031	色：颜色，色彩
嗇	set031	啬：吝嗇
蒸	tʃin44	蒸：清蒸，蒸发
拯	tʃin31	拯：拯救，包拯
證	tʃin51	证：证明，作证
症	tʃin51	症：病症，症状
織	tʃit031	织：织布，纺织
職	tʃit031	职：称职，职务
稱	tʃʰim44	称：称呼，称重
稱	tʃʰim44	称：相称，称心
秤	tʃʰin51	秤：称东西用
乘	ʃin51	乘：乘法，乘坐
繩	ʃun22	绳：绳子，麻绳
塍	ken51	塍：田塍
剩	ʃin51	剩：剩菜，剩余
食	ʃit033	食：吃，食物，粮食
蝕	ʃet033	蚀：月蚀，腐蚀
升	ʃin44	升：升级，上升
勝	ʃin51	胜：胜任
勝	ʃin51	胜：胜败，战胜
式	ʃit031	式：式样，样式
識	ʃit031	识：认识，识别
飾	sit031	饰：装饰，首饰
承	ʃin22	承：承担，继承
丞	ʃin22	丞：丞相
植	tʃʰit033	植：植物，种植
殖	tʃʰit033	殖：繁殖，骨殖
仍	ʒin22	仍：仍然，仍旧
扔	ʒin44	扔：抛，扔掉
棘	kin31	棘：荆棘，棘手
極	kʰit033	极：南极，极其
凝	nen22	凝：鱼、肉汤结冻，凝固
興	ʃin44	兴：兴旺，绍兴
興	ʃin51	兴：高兴，兴趣
應	jin51	应：应该，理应
鷹	jin44	鹰：老鹰，鹰潭
應	jin51	应：答应
抑	jit031	抑：压抑，抑制
憶	ek031	忆：回忆，忆苦思甜
億	ʒʅ51	亿：亿万
蠅	ʒin22	蝇：苍蝇
孕	ʒin31	孕：怀孕，孕妇
翼	ʒit033	翼：翅膀，机翼
國	kuek031	国：国家，中国
弘	fuŋ22	弘：弘扬
或	fet033	或：或者，间或
惑	fet033	惑：迷惑，惑众
域	fet031	域：地域
百	pak031	百：一百，百姓
柏	pʰak031	柏：柏树，松柏
伯	pak031	伯：伯伯，伯父
迫	pek031	迫：迫害，压迫
烹	pʰun44	烹：烹调
碰	pʰuŋ51	碰：碰到，碰撞
拍	pʰɔk031	拍：拍灰，拍照，球拍
珀	pʰɔk031	珀：琥珀
魄	pʰak031	魄：魂魄，气魄
彭	pʰaŋ22	彭：姓，彭德怀
膨	pʰaŋ22	膨：膨胀
白	pʰak033	白：颜色，白吃
帛	pʰɔk033	帛：财帛
盲	maŋ22	盲：盲人，文盲，捉迷藏
虻	mɔŋ22	虻：牛虻
猛	maŋ44	猛：猛烈，凶猛
蜢	maŋ31	蜢：蚱蜢
孟	men51	孟：姓，孟子，孟尝君
陌	mɔk031	陌：陌生
打	ta31	打：打人，打发，打针
冷	len44	冷：天冷，冷清
撑	tʃʰaŋ51	撑：撑伞，支撑
拆	tsʰak031	拆：拆开，拆卸
㿭	pit031	㿭：皮干开裂
宅	tsʰet033	宅：宅基，某宅
擇	tsʰet033	择：选择，择菜
澤	tsʰet033	泽：毛泽东
窄	tsa51	窄：狭窄
鐺	tɔŋ44	铛：烙饼用具
生	sen44	生：生活，生熟，生小孩
牲	sen44	牲：牺牲，畜牲
甥	sen44	甥：外甥
笙	sen44	笙：乐器
省	sem31	省：节省，省长
更	ken31	更：三更，更换
庚	kaŋ44	庚：天干，庚子
羹	kaŋ44	羹：加菜、肉做的糊，调羹
粳	ken31	粳：粳米
哽	kaŋ31	哽：哽住，哽咽
梗	kuaŋ31	梗：菜梗，桔梗
埂	kaŋ51	埂：田埂
更	ken51	更：更加
格	kak031	格：格子，出格
骼	kek031	骼：骨骼
坑	kʰaŋ44	坑：挖坑，坑害
額	ȵiak031	额：额头，名额
亨	hen44	亨：大亨，亨通
哼	m̩44	哼：哼小曲
赫	hat031	赫：赫赫有名，显赫
嚇	hak031	吓：恐吓，吓唬
行	haŋ22	行：行为，（车、人）走，
衡	fen22	衡：平衡、衡量
杏	hen51	杏：银杏、杏仁
行	haŋ22	行：品行
繃	paŋ44	绷：衣服紧绷
浜	pin44	浜：沙家浜
逬	pin51	迸：迸发，迸裂
擘	pʰiak031	擘：用手擘开
棚	pʰaŋ22	棚：草棚，瓜棚
蚌	pɔŋ51	蚌：蚌埠，蚌壳
萌	men22	萌：萌芽
氓	maŋ22	氓：流氓
脈	mak031	脉：把脉
麥	mak033	麦：麦子，大麦
摘	tsak031	摘：摘花，文摘
橙	tʃʰaŋ22	橙：甜橙，橙子
爭	tsen44	争：争吵，战争
踭	tsaŋ44	踭：脚后跟，肘节
箏	tsen44	筝：风筝
睜	tsen44	睁：睁眼
冊	tʃʰak031	册：书册，册封
策	tʃʰet031	策：计策，策略
柵	san44	栅：窗栅，炉栅
耕	kaŋ44	耕：耕田，农耕
耿	kuen31	耿：耿耿于怀，耿饼，姓
革	kek031	革：革命，皮革
隔	kak031	隔：隔开，分隔，隔壁
嗝	kek031	嗝：打嗝
莖	kiun44	茎：
幸	hen51	幸：幸福，荣幸
核	het033	核：审核，核对
核	fut033	核：果子核
鶯	jin44	莺：黄莺
櫻	jin44	樱：樱桃，樱花
鸚	jin44	鹦：鹦哥，鹦鹉
厄	ak031	厄：厄运
扼	ak031	扼：扼杀，扼腕
軛	ak031	轭：牛轭（牛耕田时套的人字形工具）
兵	pin44	兵：当兵，兵马
丙	piaŋ31	丙：天干
秉	pin31	秉：秉性，秉公办事
柄	piaŋ51	柄：把柄，刀柄
碧	pʰet031	碧：碧玉
平	pʰin22	平：平时，平地，太平
評	pʰin22	评：批评，评论
坪	pʰiaŋ22	坪：草坪，大片平地
明	min22	明：明朝，明年，清明，明白
盟	men22	盟：同盟，盟友
鳴	min22	鸣：鸣叫，鸡鸣
皿	men22	皿：皿字底，器皿
命	miaŋ51	命：算命，命令
京	kin44	京：北京，京剧
荆	kin44	荆：荆州，荆棘
驚	kiaŋ44	惊：吃惊，害羞，眼睛怕光
境	kin31	境：境界，处境
景	kin31	景：景色，风景
警	kin31	警：警察，报警
敬	kin51	敬：敬爱，尊敬
竟	kin31	竟：竟然，未竟
鏡	kiaŋ51	镜：镜子，铜镜
戟	kit031	戟：方天画戟
卿	kʰin44	卿：人名用字
慶	kʰin51	庆：欢庆，庆祝
隙	sit031	隙：空隙
擎	kʰiaŋ22	擎：举起
鯨	kin44	鲸：动物
競	kʰin31	竞：竞争，竞赛
劇	kʰiak031	剧：剧烈
劇	kʰiak031	剧：戏剧
屐	kʰiak033	屐：木鞋
迎	ȵiaŋ22	迎：迎接，欢迎
逆	ȵiak033	逆：逆风，忤逆
英	jin44	英：英雄，英国
影	ʒaŋ31	影：电影，人影
映	ʒɔŋ31	映：反映，放映
繃	pɔŋ31	绷：捆缚，绷紧
餠	piaŋ31	饼：饼干
倂	pin51	并：合并
璧	piak031	璧：和氏璧
聘	pʰin51	聘：聘请，聘礼
癖	pʰit031	癖：癖好，怪癖
僻	pʰit031	僻：偏僻，僻静
闢	pʰit031	辟：开辟，复辟
名	miaŋ22	名：名字，有名
領	liaŋ44	领：领钱，衣领
嶺	liaŋ44	岭：山岭，岭南
令	lin51	令：令人，命令
精	tsin44	精：精神，妖精
晶	tsin44	晶：水晶，亮晶晶
睛	tsin44	睛：眼睛
井	tsiaŋ31	井：一口井，井井有条
脊	tsiak031	脊：背脊，脊梁
跡	tsiak031	迹：笔迹，迹象
積	tsit031	积：积极，堆积
淸	tsʰin44	清：清洁，水清
請	tsʰiaŋ31	请：请人，邀请
情	tsʰin22	情：人情，情节
晴	tsʰiaŋ22	晴：天晴，晴朗
靖	tsin31	靖：靖难
淨	tsʰiaŋ51	净：净重，干净
籍	sit033	籍：书籍，祖籍，籍贯
省	sen31	省：反省，省亲
性	sin51	性：天性，性别
姓	siaŋ51	姓：姓名
昔	sit031	昔：昔日，今昔
惜	sit031	惜：可惜，怜惜
夕	sit033	夕：夕阳
席	sit033	席：酒席，主席
蓆	tsʰiak033	席：草席
貞	tʃim44	贞：贞节
偵	tʃim44	侦：侦察
逞	tʃʰin31	逞：逞能，得逞
呈	tʃʰin22	呈：呈现，辞呈
程	tʃʰin22	程：程度，路程，姓
鄭	tʃʰaŋ51	郑：姓，郑重
擲	tʃʰaŋ51	掷：掷骰子
正	tʃaŋ44	正：正月
征	tʃin44	征：长征，征兵
整	tʃin31	整：整体，完整
正	tʃin51	正：正直，方正
政	tʃin51	政：行政，政治
隻	tʃak031	只：一只
炙	tʃak031	炙：火烤
尺	tʃʰak031	尺：尺寸，卷尺
斥	tʃʰit031	斥：排斥，斥责
赤	tʃʰak031	赤：赤卫队，赤脚
射	ʃa51	射：射箭，发射
聲	ʃaŋ44	声：声音，笑声
聖	ʃin51	圣：圣人，神圣
適	ʃit031	适：合适，适应
釋	sit031	释：解释，释放
成	ʃin22	成：完成，成功
城	ʃaŋ22	城：城里，县城
誠	ʃin22	诚：诚心，虔诚
盛	ʃin51	盛：盛饭
盛	ʃin51	盛：兴盛，茂盛，姓
碩	ʃɔk031	硕：硕士，硕果
頸	kaŋ31	颈：项颈，头颈
勁	kin51	劲：劲敌，较劲
輕	kʰiaŋ44	轻：轻重，轻松
嬰	jin44	婴：婴儿
纓	jin44	缨：红缨帽，红缨枪
益	jit031	益：有益，利益
盈	jin22	盈：充盈，轻盈，盈利
贏	ʒaŋ22	赢：输赢，赢得
液	jit033	液：液体，输液
腋	ʃat031	腋：腋下
亦	jit033	亦：亦可
易	ʒʅ51	易：易经，周易，贸易
壁	piak031	壁：墙壁，壁垒
姘	pʰin31	姘：姘头
劈	pʰiak031	劈：刀劈，雷劈
霹	pʰit031	霹：霹雳
甁	pʰiaŋ22	瓶：瓶子
屛	pʰin22	屏：屏风，屏障
萍	pʰin22	萍：萍水相逢，萍乡
並	pin51	并：并且，并排，并肩
銘	men22	铭：铭刻，碑铭
暝	men22	暝：夜晚
覓	tsiɔk031	觅：寻觅
丁	ten44	丁：天干，姓
釘	ten44	钉：钉子，图钉
疔	ten44	疔：疔疮
叮	ten44	叮：蚊子咬
頂	ten31	顶：顶好，山顶
鼎	ten31	鼎：鼎盛，锅
釘	ten44	钉：钉钉子，
訂	ten51	订：订旅馆，预订
的	tit031	的：目的，的确
滴	tit031	滴：滴水，点滴
嫡	tit031	嫡：嫡系，嫡亲
聽	tʰen44	听：听话
廳	tʰen44	厅：厅堂，客厅
汀	tʰen44	汀：汀州，水门汀
聽	tʰen44	听：听任
剔	tʰit031	剔：挑剔，剔牙
踢	tʰet031	踢：踢球，脚踢
亭	tʰin22	亭：亭子，凉亭
停	tʰin22	停：停下，停留
庭	tʰen22	庭：家庭，庭院
廷	tʰen22	廷：朝廷
蜓	tʰen22	蜓：蜻蜓
挺	tʰen31	挺：挺胸，坚挺
艇	tʰiaŋ31	艇：潜艇
錠	tʰin51	锭：银锭
定	tʰin51	定：坚定，定罪
狄	tʰit031	狄：姓，狄青
笛	tʰet033	笛：笛子
敵	tʰit033	敌：敌人，无敌
糴	tʰet033	籴：买米
滌	tʰit031	涤：洗涤
寧	len22	宁：安宁，宁波
寧	len22	宁：宁可
溺	ȵiɔk033	溺：溺水，溺爱
靈	lin22	灵：很灵，灵活
零	len22	零：零分，零碎，零头，三十有零
鈴	lin22	铃：风铃，铃声
拎	lin22	拎：提
伶	lin22	伶：名伶，伶俐
齡	lin22	龄：年龄
另	len51	另：另外
歷	let033	历：历史
曆	let033	历：历书，日历
礫	lɔk033	砾：瓦砾
績	tsit031	绩：成绩，绩效
靑	tsʰiaŋ44	青：藏青，青年
蜻	tsʰiaŋ44	蜻：蜻蜓
戚	tsʰit031	戚：亲戚，姓
寂	sit031	寂：寂寞
星	sen44	星：星星，火星
腥	siaŋ44	腥：腥臭，鱼腥草
猩	siaŋ44	猩：猩猩
醒	tsʰiaŋ31	醒：醒来，清醒
析	sit031	析：分析
經	kin44	经：念经，经济
徑	kaŋ51	径：半径，径直
經	kin44	经：经线，经纬
激	kit031	激：激动，过激
擊	kip031	击：拳击，击败
吃	ʃit033	吃：吃东西，吃亏
馨	ʃaŋ44	馨：温馨
形	ʃin22	形：形状，地形
刑	ʃin22	刑：刑法，用刑
型	ʃin22	型：型号，类型
礦	kʰɔŋ51	矿：煤矿，矿工
轟	fuŋ22	轰：轰炸
宏	fen22	宏：宏大，恢宏
獲	fat031	获：获得，收获
劃	vak033	划：计划，划破
兄	ʃuŋ44	兄：兄弟，老兄
榮	ʒuŋ22	荣：光荣，荣誉
泳	ʒun31	泳：游泳
詠	ʒun31	咏：歌咏，咏叹
傾	kʰen44	倾：倾向，左倾
頃	kʰen44	顷：顷刻
瓊	kʰiun22	琼：琼花，琼楼
營	ʒaŋ22	营：国营，营养
穎	ʒin31	颖：新颖，颖悟
役	ʒit033	役：战役
疫	ʒit033	疫：时疫，疫苗
螢	ȵiam22	萤：萤火虫
滎	ʒuŋ22	荥：荥阳
迥	fei44	迥：迥然不同
卜	pʰiet033	卜：占卜，萝卜
撲	pʰɔk031	扑：扑灭，反扑
醭	pʰu31	醭：醋 酱油生白色霉
仆	pʰɔk031	仆：前仆后继
篷	pʰuŋ22	篷：帐篷，船篷
蓬	pʰuŋ22	蓬：蓬勃，蓬蒿，蓬莱
瀑	pʰou51	瀑：瀑布
曝	pʰou51	曝：晒，曝光，一曝十寒
僕	pʰuk031	仆：仆人，奴仆
蒙	muŋ22	蒙：蒙蔽，蒙古
懵	muŋ31	懵：懵懂
蠓	muŋ22	蠓：蠓虫
木	muk031	木：木头，松木
沐	muk033	沐：沐浴
董	tuŋ31	董：姓，董必武
懂	tuŋ31	懂：懂了，懵懂
凍	tuŋ51	冻：冻死，冰冻
棟	tuŋ51	栋：栋梁
通	tʰuŋ44	通：通过，不通
捅	tʰuŋ31	捅：捅破了，推移
桶	tʰuŋ31	桶：木桶，箍桶
痛	tʰuŋ51	痛：很痛，痛苦
禿	tʰut031	秃：秃顶
同	tʰuŋ22	同：同学，相同
銅	tʰuŋ22	铜：金属
桐	tʰuŋ22	桐：梧桐，桐油
筒	tʰuŋ22	筒：电筒
童	tʰuŋ22	童：童年，儿童
瞳	tʰuŋ22	瞳：瞳孔
動	tʰuŋ51	动：别动，动作
洞	tʰuŋ51	洞：山洞，洞察
獨	tʰuk033	独：独立，单独
牘	tʰuk033	牍：文牍
犢	tʰuk033	犊：牛犊
籠	luŋ22	笼：笼子，牢笼
聾	luŋ44	聋：耳聋，聋子
礱	luŋ22	砻：去稻壳用
朧	luŋ22	胧：朦胧
嚨	luŋ22	咙：喉咙
攏	luŋ31	拢：靠拢，走拢
弄	luŋ31	弄：弄堂，弄错
鹿	luk033	鹿：动物，鹿茸
祿	luk031	禄：福禄寿
鬃	tsuŋ44	鬃：猪鬃，鬃毛
棕	tsuŋ44	棕：棕树，棕色
總	tsuŋ31	总：总计，汇总
糉	tsuŋ51	粽：粽子
葱	tsʰuŋ44	葱：葱花，香葱
聰	tsʰuŋ44	聪：聪明
怱	tsʰuŋ44	匆：匆忙，匆匆
囪	tsʰuŋ44	囱：烟囱
叢	tsʰiuŋ22	丛：树丛，丛书
族	tsʰuk033	族：族长，民族
送	suŋ51	送：送客，赠送
速	suk031	速：速度，加速
工	kuŋ44	工：工人，打工
功	kuŋ44	功：功课，成功
攻	kuŋ44	攻：攻击。反攻
蚣	kuŋ44	蚣：蜈蚣
貢	kuŋ51	贡：进贡，贡献
谷	kuk031	谷：山谷
穀	kuk031	谷：稻谷
空	kʰuŋ44	空：天空，空话
孔	kʰuŋ31	孔：孔子，钻孔
空	kʰuŋ51	空：亏空，有空
控	kʰuŋ51	控：控制，失控
哭	kʰuk031	哭：哭泣，痛哭
烘	fuŋ22	烘：烘干
哄	fuŋ22	哄：哄骗
虹	fuŋ22	虹：长虹，彩虹
紅	fuŋ22	红：红色，走红
洪	fuŋ22	洪：洪亮，洪水
鴻	pʰuŋ22	鸿：鸿鹄
汞	kuŋ51	汞：水银，红汞
鬨	fuŋ51	哄：内哄，起哄
翁	vuŋ44	翁：老翁，姓
瓮	vuŋ51	瓮：缸，米瓮
屋	vuk031	屋：房屋，屋子
冬	tuŋ44	冬：冬至，过冬
督	tuk031	督：督促，监督
篤	tuk031	笃：笃信
統	tʰuŋ31	统：总统，统一
毒	tʰuk033	毒：毒药，毒死
農	luŋ22	农：农村，贫农
膿	luŋ22	脓：化脓，脓水
儂	nuŋ22	侬：人，你
宗	tsuŋ44	宗：祖宗，宗教
綜	tsuŋ44	综：织布机上的综
鬆	suŋ44	松：轻松，松弛
宋	suŋ51	宋：姓，宋朝
酷	kʰuk031	酷：残酷，酷爱
沃	vɔk031	沃：肥沃
瘋	fuŋ44	疯：发疯，疯狂
楓	puŋ44	枫：枫树，枫叶
諷	fuŋ31	讽：讽刺，讥讽
幅	fuk031	幅：幅度，条幅
蝠	fuk031	蝠：蝙蝠
腹	puk031	腹：心腹，肚子
複	puk031	複：复印，复写
輻	fuk031	辐：辐射
豐	fuŋ44	丰：丰年，丰收
覆	fuk031	覆：覆盖，碗倒扣
馮	pʰuŋ22	冯：姓
鳳	fuŋ51	凤：凤凰，凤仙花
伏	fuk033	伏：三伏，伏案
服	fuk033	服：服务，制服
袱	fuk033	袱：包袱
復	fuk031	复：恢复，复原
隆	luŋ22	隆：隆重，兴隆
窿	luŋ22	窿：窟窿
六	liuk031	六：数字
陸	liut033	陆：陆地，大陆
嵩	kou44	嵩：嵩山，严嵩
宿	siuk031	宿：住宿，宿舍
肅	suk031	肃：严肃，肃清
忠	tʃuŋ44	忠：忠心，效忠
衷	tʃuŋ44	衷：衷心，初衷
築	tʃuk031	筑：筑泥墙，建筑
