#漢字	音標	解釋
多	tɔ453	多：多少
聾	loŋ13	聋：耳聋
嚨	loŋ13	咙：喉咙
攏	loŋ35	拢：靠拢
弄	loŋ31	弄：弄错
鹿	lok022	鹿：鹿茸
祿	lok022	禄：福禄寿
棕	tʃoŋ453	棕：棕色
鬃	tʃoŋ453	鬃：马鬃
總	tʃoŋ35	总：总计
糉	tʃoŋ453	粽：粽子
聰	tʃʰoŋ453	聪：聪明
匆	tʃʰoŋ453	匆：匆忙
葱	tʃʰoŋ453	葱：香葱
囪	tʰoŋ453	囱：烟囱
叢	tʃʰoŋ31	丛：树丛
族	tʃok022	族：民族
送	ɬoŋ33	送：送客
速	tʃʰok055	速：速度
公	koŋ453	公：公文
蚣	koŋ453	蚣：蜈蚣
工	koŋ453	工：工人
功	koŋ453	功：功课
攻	koŋ453	攻：攻击
貢	koŋ33	贡：贡献
穀	kok055	谷：稻谷
谷	kok055	谷：山谷
空	hoŋ453	空：空虚
孔	hoŋ35	孔：孔子
控	hoŋ33	控：控制
空	hoŋ453	空：亏空
哭	hok055	哭：痛哭
烘	hoŋ31	烘：烘干
哄	hoŋ31	哄：哄骗
紅	hoŋ13	红：红色
洪	hoŋ31	洪：洪水
鴻	hoŋ31	鸿：大展鸿图
虹	hoŋ13	虹：天上的虹
汞	kʰoŋ33	汞：红汞
鬨	hoŋ31	哄：内哄，起哄
斛	hok022	斛：石斛（中药）
翁	ioŋ453	翁：老翁；姓
瓮	ʔoŋ33	瓮：米瓮
屋	ʔok055	屋：房屋
冬	toŋ453	冬：冬至
篤	tok055	笃：笃信
督	tok055	督：监督
統	tʰoŋ35	统：统一
毒	tok022	毒：毒药
農	noŋ31	农：农村
膿	noŋ13	脓：化脓
儂	noŋ13	侬：人；你
宗	tʃoŋ453	宗：祖宗
綜	tʃoŋ453	综：织布机上的综
鬆	ɬoŋ453	松：松紧，放松
宋	ɬoŋ33	宋：宋朝
酷	hok022	酷：残酷
沃	iok055	沃：肥沃
風	foŋ453	风：风气
楓	foŋ453	枫：枫树
瘋	foŋ453	疯：发疯
諷	foŋ35	讽：讽刺
福	fok055	福：福气
幅	fok055	幅：幅度
蝠	fok055	蝠：蝙蝠
複	fok055	复：重复，复印
腹	fok055	腹：心腹
豐	foŋ453	丰：丰衣足食
覆	fok055	覆：反覆
馮	foŋ13	冯：姓
鳳	foŋ31	凤：凤凰
服	fok022	服：服务
伏	fok022	伏：三伏
復	fok055	复：复原，恢复
袱	fok022	袱：包袱
夢	moŋ31	梦：做梦
目	mok022	目：目的
穆	mok022	穆：姓
牧	mok022	牧：畜牧
隆	loŋ31	隆：兴隆
六	lok022	六：第六
陸	lok022	陆：大陆
嵩	ɬoŋ453	嵩：嵩山
肅	ɬok055	肃：严肃
宿	ɬok055	宿：星宿
中	tʃoŋ453	中：当中，中秋
忠	tʃoŋ453	忠：忠心
衷	tʃʰoŋ453	衷：衷心，初衷
中	tʃoŋ33	中：射中，中状元
竹	tʃok055	竹：竹子
築	tʃʰok055	筑：建筑
畜	tʃʰok055	畜：牲畜
蟲	tʃʰoŋ13	虫：虫子
仲	tʃoŋ31	仲：杜仲
逐	tʃok022	逐：驱逐
軸	tʃok022	轴：轴承
崇	ʃoŋ31	崇：崇高
縮	ʃok055	缩：缩小
終	tʃoŋ453	终：终于
衆	tʃoŋ33	众：群众
祝	tʃok055	祝：庆祝
粥	tʃok055	粥：煮粥
充	tʃʰoŋ453	充：充分
丘	kʰɐu453	丘：姓（土）
休	iɐu453	休：休息
餡	hɔm31	馅：饺子馅（土）
聶	nip033	聂：姓
捺	nu̯ɔi31	捺：按捺不住
叔	ʃok055	叔：叔叔
熟	ʃok022	熟：煮熟
淑	ʃok022	淑：淑女
戎	ioŋ31	戎：戎马
絨	ioŋ13	绒：绒毛
肉	ȵiok022	肉：肉体
弓	koŋ453	弓：弓箭
躬	koŋ453	躬：鞠躬
宮	koŋ453	宫：天宫，宫殿
菊	kok055	菊：菊花
麴	kʰok055	麴：酒麴
窮	kʰoŋ13	穷：穷人
畜	tʃʰok055	畜：畜牧
蓄	tʃʰok055	蓄：储蓄
郁	wat055	郁：忧郁
熊	ioŋ13	熊：熊猫
雄	hoŋ13	雄：英雄
融	ioŋ13	融：融化
育	iok022	育：教育
封	foŋ453	封：开封
峯	foŋ453	峰：山峰
蜂	foŋ453	蜂：蜜蜂
鋒	foŋ453	锋：锋利
捧	poŋ35	捧：捧走
逢	foŋ31	逢：相逢
縫	foŋ13	缝：缝衣服
奉	foŋ31	奉：奉献，奉承
俸	foŋ35	俸：俸禄
濃	ȵioŋ13	浓：浓厚
龍	loŋ13	龙：龙头
隴	loŋ31	陇：山陇；陇西
壟	loŋ31	垄：垄断
綠	lok022	绿：碧绿
錄	lok022	录：记录
蹤	tʃoŋ453	踪：踪迹
縱	tʃoŋ35	纵：放纵
縱	tʃoŋ35	纵：纵横
足	tʃok055	足：满足
從	tʃʰoŋ31	从：从容
促	tʃʰok055	促：促进
從	tʃʰoŋ13	从：跟从
慫	ɬoŋ35	怂：怂恿
粟	ɬok055	粟：高粱粟；玉米
松	tʃʰoŋ31	松：松树
誦	tʃoŋ31	诵：朗诵
頌	tʃoŋ31	颂：歌颂
訟	tʃoŋ31	讼：诉讼
俗	tʃok022	俗：风俗
續	tʃok022	续：连续
冢	tʃʰoŋ35	冢：乱坟堆
寵	tʃʰoŋ35	宠：宠爱
重	tʃʰoŋ13	重：轻重
重	tʃʰoŋ31	重：重复
鐘	tʃoŋ453	钟：闹钟
鍾	tʃoŋ453	钟：钟爱
盅	tʃoŋ453	盅：酒盅
種	tʃoŋ35	种：种类（名、量）
腫	tʃoŋ35	肿：臃肿
種	tʃoŋ33	种：种树（动）
燭	tʃok055	烛：蜡烛
囑	tʃok055	嘱：遗嘱
衝	tʃʰoŋ453	冲：冲锋
觸	tʃʰok055	触：接触
贖	ʃok022	赎：赎罪
舂	tʃoŋ453	舂：舂米
束	tʃʰok055	束：装束
蜀	tʃok055	蜀：蜀国
屬	ʃok022	属：家属
茸	ioŋ13	茸：参茸
辱	iok022	辱：侮辱
褥	iok022	褥：被褥
恭	koŋ453	恭：恭敬
供	koŋ453	供：供给，供不起
龔	koŋ35	龚：姓
拱	koŋ35	拱：拱手
鞏	koŋ35	巩：巩固
供	koŋ33	供：上供
恐	hoŋ35	恐：恐怕
曲	kʰok055	曲：曲折，歌曲
共	koŋ31	共：共同
局	kok022	局：局部
玉	ȵiok022	玉：玉器
獄	ȵiok022	狱：监狱
胸	hoŋ453	胸：心胸
凶	hoŋ453	凶：吉凶
兇	hoŋ453	凶：凶恶，很凶
旭	iok055	旭：旭日
雍	ioŋ453	雍：雍正
癰	ioŋ453	痈：恶性脓疮
擁	ȵioŋ35	拥：拥护
私	ɬei453	私：自私(土）
師	ɬei453	师：老师(土）
獅	ɬei453	狮：狮子(土）
毛	mou453	毛：头毛（头发）
條	tʰiu13	条：量詞
菖	tʃʰiaŋ453	菖：菖蒲
娼	tʃʰiaŋ453	娼：娼妓
厰	tʃʰu̯ɔŋ35	厂：厂长
唱	tʃʰiaŋ33	唱：唱歌
倡	tʃʰiaŋ453	倡：提倡
綽	tʃʰu̯ɔk033	绰：绰号；绰绰有余
商	ʃiaŋ453	商：商业
傷	ʃiaŋ453	伤：伤害
賞	ʃiaŋ35	赏：欣赏
晌	hiaŋ35	晌：晌午
餉	hiaŋ35	饷：军饷
常	ʃiaŋ13	常：经常
嘗	ʃiaŋ13	尝：品尝
裳	ʃiaŋ13	裳：衣裳
償	ʃiaŋ35	偿：赔偿
上	ʃiaŋ31	上：上面（名）
尙	ʃiaŋ31	尚：和尚
上	ʃiaŋ35	上：上山（动）
勺	ʃiak022	勺：饭勺，勺子
芍	tʃiak033	芍：芍药花
瓤	nu̯ɔŋ13	瓤：瓜瓤
壤	ȵiaŋ13	壤：土壤
攘	ȵiaŋ13	攘：推推攘攘
讓	ȵiaŋ31	让：让座
