#漢字	音標	解釋
多	ɗo55	多 多少
從	tʃʰoŋ31	从 跟从
慫	ʃoŋ35	怂 怂恿
粟	ɬok055	粟 高粱粟；玉米
松	tʃʰoŋ31	松 松树
誦	tʃoŋ31	诵 朗诵
頌	tʃoŋ31	颂 歌颂
訟	tʃoŋ31	讼 诉讼
俗	tʃok031	俗 风俗
續	tʃok031	续 连续
寵	tʃʰoŋ23	宠 宠爱
重	tʃʰoŋ23	重 轻重
重	tʃʰoŋ23	重 重要
重	tʃʰoŋ31	重 重复
鐘	tʃoŋ55	钟 闹钟
鍾	tʃoŋ55	钟 钟爱
盅	tʃoŋ55	盅 酒盅
種	tʃoŋ35	种 种类（名、量）
腫	tʃoŋ35	肿 臃肿
種	tʃoŋ33	种 种树（动）
燭	tʃok055	烛 蜡烛
囑	tʃok055	嘱 遗嘱
衝	tʃʰoŋ55	冲 冲锋
觸	tʃʰok055	触 接触
贖	ʃok031	赎 赎罪
舂	tʃoŋ55	舂 舂米
束	tʃʰok055	束 装束
蜀	tʃok055	蜀 蜀国
屬	ʃok031	属 家属
茸	joŋ31	茸 参茸
辱	jok031	辱 侮辱
恭	koŋ55	恭 恭敬
供	koŋ55	供 供给，供不起
拱	koŋ35	拱 拱手
鞏	koŋ35	巩 巩固
供	koŋ33	供 上供
恐	hoŋ35	恐 恐怕
曲	kʰok055	曲 曲折，歌曲
共	koŋ31	共 共同
局	kok031	局 局部
玉	ȵok031	玉 玉器
獄	ŋok031	狱 监狱
胸	hoŋ55	胸 心胸
凶	hoŋ55	凶 吉凶
兇	hoŋ55	凶 凶恶，很凶
旭	jok055	旭 旭日
雍	joŋ55	雍 雍正
癰	joŋ35	痈 恶性脓疮
擁	joŋ35	拥 拥护
壅	ʔoŋ55	壅 壅肥（施肥），壅人（埋人）
容	joŋ31	容 容易
蓉	joŋ31	蓉 芙蓉
庸	joŋ31	庸 平庸
溶	joŋ31	溶 溶化
熔	joŋ31	熔 熔化
甬	joŋ31	甬 甬道
勇	ȵoŋ33	勇 勇敢
涌	joŋ23	涌 涌现
用	joŋ31	用 用处
欲	jok031	欲 欲速则不达
慾	jok031	欲 欲望
浴	jok031	浴 沐浴
攞	lo35	攞[拿]
嗰	ko33	嗰[这，代词]
屙	ʔo55	屙 （～屎）
掱	pʰa31	掱[扒手]
鈀	pʰa31	农具
孖	ma55	孖[双、对]
乸	na35	乸[雌性]
摣	tʃa55	揸（～车）
嘢	ȵɛ23	嘢[东西]
瓠	pʰou31	瓠（～瓜）
枱	tʰo31	枱[桌子]
舦	tʰa33	舦[舵]
捭	mɐi55	捭[削]
咪	mɐi55	咪[麦克风]
睇	tʰɐi35	睇[看]
脢	mu31	脢[背脊肉]
癐	ku31	癐[累]
髀	ɓei35	髀[大腿]
畀	ɓei35	畀[给、被]
鰭	kʰei31	鳍（鱼～）
洱	ȵi23	洱（普~茶）
煲	ɓou55	煲（～汤）
冇	mou23	冇[没有]（~钱、~人）
佬	lou23	佬（肥～）
蠔	hou31	耗（生~、~油）
拗	ʔau55	拗（～颈）
裱	ɓiu35	裱（～画）
嫽	lau33	嫽[调戏、逗弄]
撬	kiau31	撬
踎	mɐu55	踎[蹲]
竇	ɗɐu33	窦[鸟窝]
褸	lɐu55	褛(大～；蒙盖：～住)
睺	hɐu55	睺（注意；希冀）
嬲	nɐu55	嬲[恼怒]
邱	hɐu55	邱[姓]
抌	ɗɐm35	抌(用手锤：～心～肺)
腩	nam23	腩（腹肉：肚～）
啱	ŋam55	啱[合适]
啖	ɗam31	啖[量]（头~汤、敨~气）
噉	koŋ35	[这样]
冚	kʰɐm35	冚[盖]
鯰	lin31	鲇（～鱼）
諗	nɐm35	谂[思考]
腍	nɐm31	腍[黏而软]
緝	tʃʰɐʔ055	缉（通～）
邋	laʔ031	邋（～遢）
梘	kaŋ35	枧（番～）
慳	haŋ55	悭[节省]（~钱）
攢	tʃɐŋ35	攒（积～）
乜	mɐʔ055	乜[什么]
燐	lɐŋ31	燐
圂	vɐŋ33	圂（关禁：～住）
搵	vɐŋ23	揾[找]
劏	tʰɔŋ55	劏[宰杀]
螂	lɔŋ31	螂（螳 ~）
肨	ɓuŋ31	肨（～大海）
戥	ɬeŋ55	戥[秤]（厘 ~）
簕	lɐʔ031	簕[刺]（~ 瓜、~ 杜鹃）
罌	ʔaŋ55	罂[宽口陶瓷瓶]
呃	ŋɐʔ055	呃[骗]
靚	li̯ɛŋ33	靓[漂亮]
嚦	li̯ɛʔ055	呖[利害、能干]（~ 仔）
埕	tʃʰeŋ31	埕[酒瓮]（酒 ~）
掟	ɗeŋ33	掟（扔：～石头）
壢	lek055	坜[畦]
戙	ɗoŋ31	戙[竖]
睩	lok055	睩[瞪]
轆	lok055	辘[轮子]
餸	ɬoŋ33	餸[菜肴]（饭 ~）
喐	ȵok055	喐[动]
焗	kok031	焗（~ 饭、盐 ~鸡、~ 油）
惠	ju31	惠 惠英（人名）
獅	ɬei55	狮 狮子（白，少）
姨	ji31	姨 姨丈
感	kɐm35	感 感谢（又音）
